date,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,XMR,NEO,DASH,BNB,ETC,XEM,XTZ,BSV,MKR,ATOM,LEO,LINK,HT,MIN,INNBCL,STO,TAGZ5,CRO,HEX,DOT
20200331,0.505746781149541,0.297453674129439,0.413038908680511,0.303930299361151,0.0451933998064007,0.18187568047924,0.316643793667367,0,0,0,0.24808148082484,0,0,0.347133003411145,0,0,0.13521358377174,0.0559937288730439,0,0,0.0149011968130946,0.269848573692456,0,0,0.016959486462956,0,0.119311029518577,0,0,0
20200401,0.543101791547938,0.477974709536573,0.310553859202246,0.403902526815012,0.0495757338516541,0.0872355949837076,0.277887926521823,0.225084597338336,0,0,0.150586725247153,0,0,0.256778617795572,0,0,0.0698601850204502,0.0551160398345239,0,0,0.0183282376908631,0,0,0,0.0257433372263399,0,0.155970666961163,0,0,0
20200402,0.551081843566742,0.411483904250838,0.70698676438117,0.38222086204401,0.0471563812489605,0.10699246904905,0.255182031664494,0.240401676871306,0,0,0.155883017501884,0,0,0.609318296059304,0,0,0.0381892715591252,0.0541933105268958,0,0,0.0156455773792872,0,0,0,0.0264345459291867,0,0.129813120835852,0,0,0
20200403,0.555579656572515,0.411004368096992,0.621266437031273,0.400376756189514,0.0481769732127613,0.103467831390119,0.275148483536399,0.231952269820238,0,0,0.18165977418797,0,0,0.569946898636769,0,0,0.0592943811017204,0.0577192006811923,0,0,0.0160075735063877,0,0,0,0.0240702797886706,0,0.148661662145574,0,0,0
20200404,0.608291952668545,0.485710940773323,0.609623173258482,0.380483443411796,0.053272909428551,0.104282174005857,0.224699343178153,0.227977247098766,0,0,0.181458867915028,0,0,0.625003498392901,0,0,0.0575558273295528,0.0650222798126194,0,0,0.0140592513147196,0,0,0,0.0245196352295478,0,0.128937258950071,0,0,0
20200405,0.552049502348636,0.32998480981035,0.328598674954089,0.387982887055986,0.0440709564557792,0.117182536506097,0.142300811188956,0,0,0,0.158600954104231,0,0,0.423382728953687,0,0,0.0669635919335644,0.0576608034347005,0,0,0.0179934332756233,0,0.211814864299147,0,0.011399247921575,0,0.131593579638934,0,0,0
20200406,0.544830696774787,0.343726033517894,0.721592104919837,0.355403231977402,0.0774135812380736,0.14615939718783,0.260214465480812,0.225062702751273,0,0,0.158115111585145,0,0,0.609383582903478,0,0,0.0593096289468269,0.0654126069044146,0,0,0.024524358796509,0,0,0,0.025718490649776,0,0.168058620230569,0,0,0
20200407,0.564723248893209,0.392298822785066,0.610335794809454,0.307737153373209,0.0453152967292442,0.177054134124519,0.200228697405558,0,0,0,0.28012801886589,0,0,0.394192462447193,0,0,0.0685522844437561,0.0663010202292992,0,0,0.0123840424651228,0.266778257719807,0,0,0.0158266583449003,0,0.157102286870199,0,0,0
20200408,0.536839947835518,0.566273143710262,0.590970470244556,0.226626118515933,0.0364600937366155,0.133113098075173,0.479401062180454,0,0,0,0.352164890553664,0,0,0.379876242619937,0,0,0.0742154522041265,0.0606136161594226,0,0,0.0193973477350383,0.267351765051465,0,0,0.0135074017491821,0,0.151721268672736,0,0,0
20200409,0.536312259173611,0.375003779723886,0.538637024927955,0.157103548667928,0.0435714746042675,0.134504270335465,0.233308430803967,0,0,0,0.243514800902688,0,0,0.389453863505407,0,0,0.0748104891228771,0.0616081493285071,0,0,0.0273653343121315,0.267107909616209,0,0,0.0138423604602933,0,0.118099719723564,0,0,0
